期数,星期,红球,篮球,和值,AC,分列差,并列差,公式差,取模直,非AC尾,012路
2024071,7,"[2, 8, 19, 28, 30, 31]",14,118,9,"[9, 2, 9]","[6, 9, 1]","[8, 3, 5, 3, 2, 2]","[4, 3, 2]","[1, 2, 3, 4, 5, 6, 8, 9]","[2, 2, 1, 1, 0, 1]"
2024072,2,"[1, 14, 20, 21, 23, 27]",6,106,7,"[6, 9, 1]","[3, 1, 4]","[5, 6, 4, 4, 3, 2]","[4, 1, 2]","[1, 2, 3, 4, 5, 6, 9]","[1, 2, 2, 0, 2, 0]"
2024073,4,"[3, 9, 12, 18, 28, 30]",1,100,8,"[7, 9, 6]","[6, 6, 2]","[2, 0, 7, 4, 2, 2]","[4, 0, 0]","[0, 2, 4, 6, 7, 9]","[0, 0, 0, 0, 1, 0]"
2024074,7,"[7, 8, 10, 22, 24, 32]",7,103,8,"[5, 6, 2]","[1, 2, 8]","[3, 1, 9, 3, 3, 2]","[1, 3, 3]","[1, 2, 3, 5, 6, 8, 9]","[1, 2, 1, 1, 0, 2]"
2024075,2,"[3, 5, 8, 18, 22, 28]",1,84,9,"[5, 7, 0]","[2, 0, 6]","[7, 5, 9, 3, 2, 2]","[0, 4, 0]","[0, 2, 3, 4, 5, 6, 7, 9]","[0, 2, 2, 0, 1, 1]"
2024076,4,"[3, 22, 24, 27, 29, 32]",15,137,6,"[9, 7, 3]","[9, 3, 3]","[4, 5, 4, 4, 3, 3]","[5, 2, 1]","[1, 2, 3, 4, 5, 7, 9]","[0, 1, 0, 0, 2, 2]"
2024077,7,"[1, 4, 6, 14, 17, 22]",8,64,5,"[1, 3, 8]","[3, 8, 5]","[3, 5, 9, 3, 2, 1]","[4, 4, 0]","[0, 1, 2, 3, 4, 5, 8, 9]","[1, 1, 0, 2, 2, 1]"
2024078,2,"[5, 9, 14, 21, 22, 26]",12,97,6,"[1, 3, 7]","[4, 7, 4]","[8, 9, 5, 3, 3, 2]","[1, 2, 1]","[1, 2, 3, 4, 5, 7, 8, 9]","[2, 0, 2, 0, 1, 2]"
2024079,4,"[2, 3, 6, 7, 16, 26]",4,60,7,"[4, 3, 1]","[1, 1, 0]","[9, 9, 9, 7, 2, 1]","[0, 0, 0]","[0, 1, 2, 3, 4, 7, 9]","[2, 0, 0, 1, 1, 2]"
2024080,7,"[6, 11, 12, 27, 29, 30]",13,115,8,"[4, 8, 5]","[5, 5, 1]","[8, 9, 8, 3, 2, 2]","[1, 0, 3]","[0, 1, 2, 3, 4, 5, 8, 9]","[0, 2, 0, 0, 2, 0]"
