期数,星期,红球,篮球,和值,AC,分列差,并列差,公式差,取模直,非AC尾,012路
2025057,4,"[4, 9, 15, 16, 25, 30]",14,99,8,"[6, 6, 1]","[5, 1, 5]","[3, 0, 5, 5, 2, 2]","[3, 4, 3]","[0, 1, 2, 3, 4, 5, 6]","[1, 0, 0, 1, 1, 0]"
2025058,7,"[2, 6, 7, 9, 10, 20]",6,54,7,"[8, 4, 2]","[4, 2, 0]","[6, 8, 6, 5, 4, 1]","[0, 4, 2]","[0, 1, 2, 4, 5, 6, 8]","[2, 0, 1, 0, 1, 2]"
2025059,2,"[4, 10, 11, 12, 13, 24]",1,74,7,"[0, 3, 1]","[6, 1, 1]","[7, 6, 5, 5, 4, 2]","[2, 4, 2]","[0, 1, 2, 3, 4, 5, 6, 7]","[1, 1, 2, 0, 1, 0]"
2025060,4,"[6, 14, 18, 25, 28, 30]",1,121,9,"[4, 4, 7]","[8, 7, 2]","[9, 7, 5, 3, 3, 3]","[1, 1, 1]","[1, 2, 3, 4, 5, 7, 8, 9]","[0, 2, 0, 1, 1, 0]"
2025061,7,"[6, 7, 9, 10, 11, 32]",9,75,5,"[6, 4, 1]","[1, 1, 1]","[1, 9, 7, 6, 5, 1]","[3, 0, 3]","[0, 1, 3, 4, 5, 6, 7, 9]","[0, 1, 0, 1, 2, 2]"
2025062,2,"[6, 8, 9, 13, 25, 31]",14,92,10,"[5, 7, 4]","[2, 4, 6]","[4, 0, 9, 6, 2, 1]","[2, 2, 0]","[0, 1, 2, 4, 5, 6, 7, 9]","[0, 2, 0, 1, 1, 1]"
2025063,4,"[2, 19, 21, 22, 28, 30]",1,122,8,"[8, 9, 1]","[7, 1, 2]","[0, 5, 4, 4, 3, 3]","[2, 2, 2]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[2, 1, 0, 1, 1, 0]"
2025064,7,"[2, 10, 13, 22, 29, 33]",16,109,8,"[1, 9, 9]","[8, 9, 4]","[3, 9, 7, 3, 2, 2]","[1, 4, 1]","[1, 2, 3, 4, 7, 8, 9]","[2, 1, 1, 1, 2, 0]"
2025065,2,"[6, 10, 13, 14, 15, 20]",11,78,6,"[4, 5, 1]","[4, 1, 5]","[2, 6, 5, 4, 4, 2]","[0, 3, 2]","[0, 1, 2, 3, 4, 5, 6]","[0, 1, 1, 2, 0, 2]"
2025066,4,"[6, 22, 24, 27, 28, 30]",4,137,7,"[4, 6, 3]","[6, 3, 2]","[1, 5, 4, 4, 3, 3]","[5, 2, 1]","[1, 2, 3, 4, 5, 6]","[0, 1, 0, 0, 1, 0]"
